data_venda,marca,modelo,ano_exato,escalao_idade,escalao_kms,combustivel,price_range,canal,country_of_origin,total_vendas
2026-07-29,MG,EHS,2021,02. 2021-2024,2. 50-100k,Híbrido,4. 10k-15k,Stock Importação,IT,1
2026-07-29,MINI,MINI,2015,04. 2013-2016,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,BE,1
2026-07-29,Citroen,C4,2005,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Peugeot,208,2018,03. 2017-2020,1. 0-50k,Gasolina,2. 2.5k-5k,Stock Importação,BE,1
2026-07-29,Fiat,Tipo,2017,03. 2017-2020,3. 100-150k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Fiat,600,2025,01. 2025-2026,1. 0-50k,Gasolina,5. 15k-20k,Stock PT,PT,1
2026-07-29,Cupra,Formentor,2023,02. 2021-2024,2. 50-100k,Gasolina,6. 20k-25k,Stock PT,PT,1
2026-07-29,Peugeot,107,2009,05. < 2013,2. 50-100k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Kia,Stonic,2020,03. 2017-2020,1. 0-50k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-29,Nissan,Juke,2017,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,Volkswagen,Polo,2017,03. 2017-2020,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,BE,1
2026-07-29,Suzuki,Jimny,1999,05. < 2013,3. 100-150k,Gasolina,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,BMW,1er,2012,05. < 2013,4. 150-200k,Gasolina,2. 2.5k-5k,Stock Importação,DE,1
2026-07-29,Mercedes-Benz,C-Klasse,2014,04. 2013-2016,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Toyota,Corolla,2020,03. 2017-2020,2. 50-100k,Híbrido,5. 15k-20k,Stock PT,PT,1
2026-07-29,Mercedes-Benz,GLA-Klasse,2016,04. 2013-2016,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Volvo,V60,2015,04. 2013-2016,6. 250k+,Híbrido,2. 2.5k-5k,Stock PT,DE,1
2026-07-29,Peugeot,208,2022,02. 2021-2024,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,ES,1
2026-07-29,Peugeot,2008,2023,02. 2021-2024,2. 50-100k,Gasolina,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Peugeot,3008,2018,03. 2017-2020,3. 100-150k,Diesel,4. 10k-15k,Stock PT,BE,1
2026-07-29,Volkswagen,Polo,2014,04. 2013-2016,1. 0-50k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,Dacia,Sandero,2022,02. 2021-2024,1. 0-50k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-29,BMW,1er,2008,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock Importação,DE,1
2026-07-29,Mercedes-Benz,A-Klasse,2014,04. 2013-2016,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,IT,1
2026-07-29,Citroen,C3 Aircross,2020,03. 2017-2020,1. 0-50k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,Citroen,Berlingo,2020,03. 2017-2020,3. 100-150k,Diesel,4. 10k-15k,Stock PT,LU,1
2026-07-29,Citroen,Berlingo,2021,02. 2021-2024,2. 50-100k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-29,MINI,Cabrio,2020,03. 2017-2020,2. 50-100k,Gasolina,5. 15k-20k,Stock PT,PT,1
2026-07-29,Dacia,Spring,2022,02. 2021-2024,1. 0-50k,Elétrico,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Fiat,Ducato,2019,03. 2017-2020,2. 50-100k,Diesel,4. 10k-15k,Stock Importação,DE,1
2026-07-29,BMW,2er,2014,04. 2013-2016,2. 50-100k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-29,Peugeot,2008,2017,03. 2017-2020,3. 100-150k,Gasolina,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,BMW,1er,2012,05. < 2013,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Smart,forfour,2016,04. 2013-2016,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,ES,1
2026-07-29,Renault,Clio,2018,03. 2017-2020,2. 50-100k,Gasolina,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,Audi,A3 Limousine,2021,02. 2021-2024,2. 50-100k,Gasolina,5. 15k-20k,Stock PT,PT,1
2026-07-29,Toyota,Avensis,2004,05. < 2013,4. 150-200k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Chevrolet,Cruze,2011,05. < 2013,4. 150-200k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Volkswagen,up!,2013,04. 2013-2016,3. 100-150k,Gasolina,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,DS Automobiles,DS3 Crossback,2020,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-29,Audi,A1 Sportback,2018,03. 2017-2020,2. 50-100k,Gasolina,4. 10k-15k,Stock PT,DE,1
2026-07-29,Smart,fortwo,2003,05. < 2013,4. 150-200k,Diesel,1. 0-2.5k,Stock PT,DE,1
2026-07-29,Mercedes-Benz,C-Klasse,2002,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,DE,1
2026-07-29,Renault,Zoe,2020,03. 2017-2020,2. 50-100k,Elétrico,4. 10k-15k,Stock Importação,IT,1
2026-07-29,Peugeot,2008,2017,03. 2017-2020,3. 100-150k,Gasolina,2. 2.5k-5k,Stock Importação,BE,1
2026-07-29,Volkswagen,Polo,2014,04. 2013-2016,3. 100-150k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Peugeot,208,2023,02. 2021-2024,1. 0-50k,Gasolina,4. 10k-15k,Stock PT,FR,1
2026-07-29,Peugeot,2008,2020,03. 2017-2020,3. 100-150k,Elétrico,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Opel,Corsa,2020,03. 2017-2020,2. 50-100k,Elétrico,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Hyundai,i10,2019,03. 2017-2020,1. 0-50k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,BMW,1er,2018,03. 2017-2020,4. 150-200k,Diesel,3. 5k-10k,Stock Importação,NL,1
2026-07-29,BMW,3er,2014,04. 2013-2016,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,FR,1
2026-07-29,Opel,Astra,2011,05. < 2013,3. 100-150k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Citroen,C4,2021,02. 2021-2024,2. 50-100k,Elétrico,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Kia,Stonic,2025,01. 2025-2026,1. 0-50k,Gasolina,5. 15k-20k,Stock PT,PT,1
2026-07-29,Peugeot,5008,2021,02. 2021-2024,2. 50-100k,Diesel,5. 15k-20k,Stock Importação,ES,1
2026-07-29,Honda,CR-V,2016,04. 2013-2016,3. 100-150k,Diesel,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Peugeot,2008,2017,03. 2017-2020,2. 50-100k,Gasolina,2. 2.5k-5k,Stock Importação,ES,1
2026-07-29,Peugeot,2008,2022,02. 2021-2024,3. 100-150k,Gasolina,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Volvo,XC60,2022,02. 2021-2024,3. 100-150k,Híbrido,7. 25k+,Stock Importação,ES,1
2026-07-29,Peugeot,208,2022,02. 2021-2024,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Hyundai,IONIQ 5,2022,02. 2021-2024,2. 50-100k,Elétrico,6. 20k-25k,Stock Importação,FR,1
2026-07-29,Peugeot,2008,2016,04. 2013-2016,4. 150-200k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Opel,Corsa,2021,02. 2021-2024,2. 50-100k,Elétrico,4. 10k-15k,Stock PT,PT,1
2026-07-29,Renault,Megane,2015,04. 2013-2016,4. 150-200k,Diesel,3. 5k-10k,Stock PT,BE,1
2026-07-29,Jeep,Renegade,2019,03. 2017-2020,4. 150-200k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,MINI,Countryman,2014,04. 2013-2016,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-29,Peugeot,208,2022,02. 2021-2024,3. 100-150k,Elétrico,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Renault,Modus,2009,05. < 2013,2. 50-100k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Mercedes-Benz,CLA-Klasse,2015,04. 2013-2016,4. 150-200k,Diesel,3. 5k-10k,Stock Importação,DE,1
2026-07-29,Volkswagen,Golf VII,2015,04. 2013-2016,3. 100-150k,Gasolina,4. 10k-15k,Stock Importação,DE,1
2026-07-29,Mercedes-Benz,E-Klasse,2018,03. 2017-2020,3. 100-150k,Diesel,5. 15k-20k,Stock Importação,BE,1
2026-07-29,MG,4,2023,02. 2021-2024,2. 50-100k,Elétrico,5. 15k-20k,Stock Importação,FR,1
2026-07-29,Peugeot,208,2022,02. 2021-2024,1. 0-50k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Mercedes-Benz,C-Klasse,2016,04. 2013-2016,4. 150-200k,Diesel,5. 15k-20k,Stock PT,DE,1
2026-07-29,Renault,Captur,2022,02. 2021-2024,3. 100-150k,Híbrido,4. 10k-15k,Stock Importação,Unknown,1
2026-07-29,MINI,MINI,2022,02. 2021-2024,2. 50-100k,Elétrico,4. 10k-15k,Stock Importação,ES,1
2026-07-29,Ford,S-Max,2011,05. < 2013,6. 250k+,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Mazda,CX-3,2019,03. 2017-2020,5. 200-250k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Mercedes-Benz,E-Klasse,2014,04. 2013-2016,5. 200-250k,Diesel,4. 10k-15k,Stock PT,DE,1
2026-07-29,Citroen,C4,2021,02. 2021-2024,2. 50-100k,Gasolina,4. 10k-15k,Stock Importação,FR,1
2026-07-29,MINI,MINI,2009,05. < 2013,5. 200-250k,Diesel,1. 0-2.5k,Stock Importação,DE,1
2026-07-29,Renault,Laguna,2004,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Peugeot,508,2015,04. 2013-2016,4. 150-200k,Diesel,2. 2.5k-5k,Stock PT,FR,1
2026-07-29,Peugeot,Partner,2015,04. 2013-2016,3. 100-150k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Tesla,Model 3,2022,02. 2021-2024,2. 50-100k,Elétrico,6. 20k-25k,Stock Importação,DE,1
2026-07-29,Peugeot,5008,2019,03. 2017-2020,1. 0-50k,Gasolina,4. 10k-15k,Stock Importação,FR,1
2026-07-29,Toyota,RAV 4,1996,05. < 2013,3. 100-150k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,Peugeot,2008,2018,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,LV,1
2026-07-29,Citroen,C3,2018,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-29,Peugeot,Bipper,2010,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Opel,Corsa,1998,05. < 2013,4. 150-200k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-29,Peugeot,2008,2016,04. 2013-2016,2. 50-100k,Diesel,3. 5k-10k,Stock PT,PT,1
2026-07-29,Peugeot,208,2012,05. < 2013,4. 150-200k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Volkswagen,Polo,2019,03. 2017-2020,2. 50-100k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-29,Citroen,Jumpy,2017,03. 2017-2020,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,DE,1
2026-07-29,Peugeot,208,2023,02. 2021-2024,1. 0-50k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-29,Peugeot,3008,2022,02. 2021-2024,2. 50-100k,Híbrido,4. 10k-15k,Stock Importação,IT,1
2026-07-29,Fiat,Tipo,2023,02. 2021-2024,5. 200-250k,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-29,Peugeot,208,2018,03. 2017-2020,2. 50-100k,Gasolina,2. 2.5k-5k,Stock Importação,ES,1
2026-07-29,BMW,X1,2018,03. 2017-2020,4. 150-200k,Diesel,3. 5k-10k,Stock Importação,BE,1
2026-07-29,Peugeot,2008,2019,03. 2017-2020,3. 100-150k,Gasolina,2. 2.5k-5k,Stock Importação,BE,1
2026-07-29,Volkswagen,Golf VII,2017,03. 2017-2020,3. 100-150k,Diesel,3. 5k-10k,Stock Importação,DE,1
2026-07-28,Ford,Focus,2014,04. 2013-2016,3. 100-150k,Gasolina,1. 0-2.5k,Stock Importação,HR,1
2026-07-28,Abarth,595,2015,04. 2013-2016,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-28,Mercedes-Benz,A-Klasse,2014,04. 2013-2016,6. 250k+,Diesel,2. 2.5k-5k,Stock Importação,FR,1
2026-07-28,Peugeot,308,2017,03. 2017-2020,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,BE,1
2026-07-28,Volkswagen,ID.3,2021,02. 2021-2024,2. 50-100k,Elétrico,4. 10k-15k,Stock Importação,BE,1
2026-07-28,Renault,Captur,2018,03. 2017-2020,2. 50-100k,Diesel,3. 5k-10k,Stock Importação,FR,1
2026-07-28,BYD,Seal,2024,02. 2021-2024,1. 0-50k,Elétrico,7. 25k+,Stock PT,PT,1
2026-07-28,Renault,Megane,2007,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Opel,Astra,2012,05. < 2013,5. 200-250k,Diesel,1. 0-2.5k,Stock PT,DE,1
2026-07-28,Peugeot,308,2019,03. 2017-2020,3. 100-150k,Gasolina,2. 2.5k-5k,Stock Importação,BE,1
2026-07-28,Nissan,Juke,2014,04. 2013-2016,4. 150-200k,Diesel,2. 2.5k-5k,Stock Importação,BE,1
2026-07-28,Honda,Jazz,2004,05. < 2013,6. 250k+,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Seat,Ibiza,2017,03. 2017-2020,2. 50-100k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-28,Volkswagen,Caddy,2019,03. 2017-2020,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,NL,1
2026-07-28,Peugeot,Partner,2014,04. 2013-2016,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,BE,1
2026-07-28,Opel,Astra,2020,03. 2017-2020,4. 150-200k,Diesel,2. 2.5k-5k,Stock PT,DE,1
2026-07-28,Mercedes-Benz,C-Klasse,2013,04. 2013-2016,4. 150-200k,Diesel,3. 5k-10k,Stock Importação,DE,1
2026-07-28,BMW,X5,2003,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock Importação,CH,1
2026-07-28,Toyota,Yaris,2009,05. < 2013,4. 150-200k,Gasolina,2. 2.5k-5k,Stock PT,PT,1
2026-07-28,Renault,Megane,2018,03. 2017-2020,3. 100-150k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-28,Citroen,C1,2010,05. < 2013,2. 50-100k,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Citroen,C4,2023,02. 2021-2024,1. 0-50k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-28,Dacia,Sandero,2022,02. 2021-2024,3. 100-150k,Gás/GPL,3. 5k-10k,Stock Importação,FR,1
2026-07-28,Renault,Clio,2020,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,NL,1
2026-07-28,Audi,A4,2004,05. < 2013,5. 200-250k,Gasolina,1. 0-2.5k,Stock PT,CH,1
2026-07-28,Nissan,Micra,2021,02. 2021-2024,2. 50-100k,Gasolina,4. 10k-15k,Stock PT,PT,1
2026-07-28,Peugeot,308,2015,04. 2013-2016,3. 100-150k,Gasolina,1. 0-2.5k,Stock Importação,FR,1
2026-07-28,Mercedes-Benz,V-Klasse,2019,03. 2017-2020,5. 200-250k,Diesel,7. 25k+,Stock PT,PT,1
2026-07-28,Honda,Civic,2009,05. < 2013,3. 100-150k,Híbrido,2. 2.5k-5k,Stock PT,PT,1
2026-07-28,Fiat,500,2008,05. < 2013,3. 100-150k,Diesel,1. 0-2.5k,Stock Importação,FR,1
2026-07-28,Mercedes-Benz,GLA-Klasse,2017,03. 2017-2020,4. 150-200k,Diesel,4. 10k-15k,Stock Importação,DE,1
2026-07-28,Peugeot,208,2021,02. 2021-2024,2. 50-100k,Elétrico,4. 10k-15k,Stock Importação,FR,1
2026-07-28,Peugeot,2008,2015,04. 2013-2016,2. 50-100k,Gasolina,2. 2.5k-5k,Stock Importação,FR,1
2026-07-28,Renault,Grand Scenic,2016,04. 2013-2016,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,DE,1
2026-07-28,Seat,Alhambra,2017,03. 2017-2020,3. 100-150k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-28,MINI,MINI,2015,04. 2013-2016,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-28,Renault,Laguna,2010,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Dodge,Ram 1500,2016,04. 2013-2016,3. 100-150k,Gasolina,5. 15k-20k,Stock Importação,US,1
2026-07-28,Mercedes-Benz,SLK-Klasse,2005,05. < 2013,4. 150-200k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-28,Volkswagen,up!,2016,04. 2013-2016,2. 50-100k,Gasolina,3. 5k-10k,Stock PT,PT,1
2026-07-28,Audi,A3 Sportback,2015,04. 2013-2016,3. 100-150k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-28,Honda,Jazz,2006,05. < 2013,2. 50-100k,Gasolina,2. 2.5k-5k,Stock PT,PT,1
2026-07-28,Mercedes-Benz,SLK-Klasse,2006,05. < 2013,4. 150-200k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-28,BMW,2er,2015,04. 2013-2016,4. 150-200k,Diesel,4. 10k-15k,Stock Importação,BE,1
2026-07-28,Citroen,C3 Picasso,2016,04. 2013-2016,3. 100-150k,Gasolina,1. 0-2.5k,Stock Importação,FR,1
2026-07-28,Citroen,C4 Picasso,2008,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Nissan,Qashqai,2015,04. 2013-2016,4. 150-200k,Diesel,3. 5k-10k,Stock Importação,FR,1
2026-07-28,Nissan,Qashqai,2009,05. < 2013,4. 150-200k,Diesel,2. 2.5k-5k,Stock PT,ES,1
2026-07-28,Nissan,Qashqai,2023,02. 2021-2024,4. 150-200k,Híbrido,4. 10k-15k,Stock Importação,ES,1
2026-07-28,MINI,MINI,2007,05. < 2013,5. 200-250k,Diesel,1. 0-2.5k,Stock Importação,DE,1
2026-07-28,Volkswagen,Golf IV,1999,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Toyota,C-HR,2018,03. 2017-2020,3. 100-150k,Híbrido,4. 10k-15k,Stock Importação,FR,1
2026-07-28,Opel,Crossland X,2020,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,FR,1
2026-07-28,BMW,1er,2022,02. 2021-2024,2. 50-100k,Diesel,4. 10k-15k,Stock Importação,BE,1
2026-07-28,Toyota,Yaris,2016,04. 2013-2016,3. 100-150k,Híbrido,4. 10k-15k,Stock PT,CH,1
2026-07-28,Mercedes-Benz,C-Klasse,2016,04. 2013-2016,5. 200-250k,Diesel,3. 5k-10k,Stock Importação,BE,1
2026-07-28,Alfa Romeo,MiTo,2009,05. < 2013,6. 250k+,Diesel,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Volkswagen,Golf V,2005,05. < 2013,6. 250k+,Gasolina,1. 0-2.5k,Stock Importação,DE,1
2026-07-28,Audi,A5 Sportback,2014,04. 2013-2016,6. 250k+,Diesel,3. 5k-10k,Stock PT,DE,1
2026-07-28,Peugeot,3008,2010,05. < 2013,6. 250k+,Diesel,2. 2.5k-5k,Stock PT,PT,1
2026-07-28,BMW,1er,2019,03. 2017-2020,1. 0-50k,Diesel,4. 10k-15k,Stock PT,PT,1
2026-07-28,Honda,CR-V,2002,05. < 2013,5. 200-250k,Gasolina,2. 2.5k-5k,Stock PT,PT,1
2026-07-28,Peugeot,3008,2018,03. 2017-2020,2. 50-100k,Gasolina,3. 5k-10k,Stock Importação,ES,1
2026-07-28,Volkswagen,Golf VI,2011,05. < 2013,4. 150-200k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-28,Peugeot,308,2014,04. 2013-2016,5. 200-250k,Gasolina,1. 0-2.5k,Stock Importação,NL,1
2026-07-28,Peugeot,306,2000,05. < 2013,6. 250k+,Gasolina,1. 0-2.5k,Stock PT,PT,1
2026-07-28,Opel,Mokka X,2022,02. 2021-2024,3. 100-150k,Elétrico,4. 10k-15k,Stock Importação,ES,1
2026-07-28,Peugeot,108,2018,03. 2017-2020,2. 50-100k,Gasolina,2. 2.5k-5k,Stock PT,PT,1
2026-07-28,BMW,3er,2020,03. 2017-2020,3. 100-150k,Híbrido,6. 20k-25k,Stock Importação,DE,1
2026-07-28,BMW,5er,2011,05. < 2013,5. 200-250k,Diesel,2. 2.5k-5k,Stock Importação,DE,1
2026-07-28,Peugeot,308,2017,03. 2017-2020,3. 100-150k,Diesel,3. 5k-10k,Stock PT,FR,1
2026-07-28,Mercedes-Benz,Vito,2020,03. 2017-2020,4. 150-200k,Diesel,4. 10k-15k,Stock Importação,FR,1
2026-07-28,Renault,Megane,2020,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,DE,1
2026-07-28,Volkswagen,Scirocco,2011,05. < 2013,4. 150-200k,Gasolina,2. 2.5k-5k,Stock Importação,DE,1
2026-07-28,Renault,Clio,2015,04. 2013-2016,4. 150-200k,Diesel,2. 2.5k-5k,Stock PT,DE,1
2026-07-28,Renault,Captur,2019,03. 2017-2020,3. 100-150k,Gasolina,3. 5k-10k,Stock Importação,FR,1
